business_id,week_start_date,follower_count,engagement_rate,posts_count
BUS_0002,2024-07-23,1371,0.0624,3
BUS_0002,2024-07-30,1375,0.0431,2
BUS_0002,2024-08-06,1400,0.0348,4
BUS_0002,2024-08-13,1396,0.0624,5
BUS_0002,2024-08-20,1410,0.0519,1
BUS_0002,2024-08-27,1423,0.0645,4
BUS_0002,2024-09-03,1436,0.054,1
BUS_0002,2024-09-10,1444,0.049,3
BUS_0002,2024-09-17,1454,0.0293,5
BUS_0002,2024-09-24,1460,0.0571,6
BUS_0002,2024-10-01,1480,0.0604,4
BUS_0002,2024-10-08,1483,0.0387,3
BUS_0002,2024-10-15,1505,0.0423,6
BUS_0002,2024-10-22,1510,0.0534,4
BUS_0002,2024-10-29,1518,0.0527,4
BUS_0002,2024-11-05,1541,0.0485,2
BUS_0002,2024-11-12,1554,0.0488,3
BUS_0002,2024-11-19,1571,0.0519,5
BUS_0002,2024-11-26,1583,,2
BUS_0002,2024-12-03,1588,0.0401,2
BUS_0002,2024-12-10,1581,0.0602,0
BUS_0002,2024-12-17,1591,0.0521,4
BUS_0002,2024-12-24,1594,0.0648,4
BUS_0002,2024-12-31,1608,0.0571,4
BUS_0002,2025-01-07,1617,0.0556,2
BUS_0002,2025-01-14,1624,0.0282,0
BUS_0002,2025-01-21,1634,0.0518,4
BUS_0002,2025-01-28,1646,0.0609,1
BUS_0002,2025-02-04,1667,0.0524,3
BUS_0002,2025-02-11,1686,0.0583,3
BUS_0002,2025-02-18,1704,0.054,3
BUS_0002,2025-02-25,1739,0.05,1
BUS_0002,2025-03-04,1759,,4
BUS_0002,2025-03-11,1775,,1
BUS_0002,2025-03-18,1792,0.0564,2
BUS_0002,2025-03-25,1809,0.0501,2
BUS_0002,2025-04-01,1826,0.0566,5
BUS_0002,2025-04-08,1842,0.0597,2
BUS_0002,2025-04-15,1870,0.049,7
BUS_0002,2025-04-22,1894,0.0505,4
BUS_0002,2025-04-29,1910,0.0601,0
BUS_0002,2025-05-06,1921,0.0485,7
BUS_0002,2025-05-13,1948,0.0533,3
BUS_0002,2025-05-20,1971,0.0507,1
BUS_0002,2025-05-27,2001,0.0623,1
BUS_0002,2025-06-03,2027,0.0477,3
BUS_0002,2025-06-10,2051,0.057,2
BUS_0002,2025-06-17,2067,0.0623,4
BUS_0002,2025-06-24,2084,0.0508,3
BUS_0002,2025-07-01,2110,0.0602,5
BUS_0002,2025-07-08,2145,0.0479,5
BUS_0002,2025-07-15,2180,0.0541,2
BUS_0003,2024-07-23,1009,0.036,0
BUS_0003,2024-07-30,1010,0.0356,3
BUS_0003,2024-08-06,1011,0.0387,3
BUS_0003,2024-08-13,1016,0.0402,2
BUS_0003,2024-08-20,1024,0.0411,1
BUS_0003,2024-08-27,1024,0.0368,1
BUS_0003,2024-09-03,1022,0.0295,1
BUS_0003,2024-09-10,1027,0.033,2
BUS_0003,2024-09-17,1027,0.0366,1
BUS_0003,2024-09-24,1031,0.0395,0
BUS_0003,2024-10-01,1037,0.0409,0
BUS_0003,2024-10-08,1037,,2
BUS_0003,2024-10-15,1049,0.0407,3
BUS_0003,2024-10-22,1049,0.0277,2
BUS_0003,2024-10-29,1046,0.0325,3
BUS_0003,2024-11-05,1061,0.0409,1
BUS_0003,2024-11-12,1065,0.0293,2
BUS_0003,2024-11-19,1065,0.0415,3
BUS_0003,2024-11-26,1070,0.0405,4
BUS_0003,2024-12-03,1076,0.0357,2
BUS_0003,2024-12-10,1070,0.0376,0
BUS_0003,2024-12-17,1069,0.0385,2
BUS_0003,2024-12-24,1075,0.0391,4
BUS_0003,2024-12-31,1074,0.04,3
BUS_0003,2025-01-07,1086,0.0297,1
BUS_0003,2025-01-14,1093,0.0451,2
BUS_0003,2025-01-21,1099,0.0455,2
BUS_0003,2025-01-28,1116,0.0438,1
BUS_0003,2025-02-04,1126,0.034,1
BUS_0003,2025-02-11,1121,0.0387,3
BUS_0003,2025-02-18,1120,0.0412,0
BUS_0003,2025-02-25,1116,0.0314,3
BUS_0003,2025-03-04,1105,0.0329,1
BUS_0003,2025-03-11,1109,0.041,1
BUS_0003,2025-03-18,1114,0.0419,3
BUS_0003,2025-03-25,1110,0.0513,0
BUS_0003,2025-04-01,1113,0.0422,1
BUS_0003,2025-04-08,1114,0.0496,0
BUS_0003,2025-04-15,1113,0.0315,1
BUS_0003,2025-04-22,1120,0.0285,0
BUS_0003,2025-04-29,1118,0.035,1
BUS_0003,2025-05-06,1108,0.0251,0
BUS_0003,2025-05-13,1109,0.0311,1
BUS_0003,2025-05-20,1114,0.0405,0
BUS_0003,2025-05-27,1123,0.0362,1
BUS_0003,2025-06-03,1127,0.0352,1
BUS_0003,2025-06-10,1116,0.0462,1
BUS_0003,2025-06-17,1115,0.0361,1
BUS_0003,2025-06-24,1118,0.0296,2
BUS_0003,2025-07-01,1124,0.0366,0
BUS_0003,2025-07-08,1121,0.0377,2
BUS_0003,2025-07-15,1130,0.0281,0
BUS_0004,2024-07-23,1769,0.0683,7
BUS_0004,2024-07-30,1805,0.0839,4
BUS_0004,2024-08-06,1853,0.0601,1
BUS_0004,2024-08-13,1885,0.0819,3
BUS_0004,2024-08-20,1918,0.0507,9
BUS_0004,2024-08-27,1945,0.0751,5
BUS_0004,2024-09-03,1971,0.0826,4
BUS_0004,2024-09-10,2005,0.069,3
BUS_0004,2024-09-17,2033,0.0745,2
BUS_0004,2024-09-24,2071,0.0523,3
BUS_0004,2024-10-01,2121,0.0732,2
BUS_0004,2024-10-08,2148,0.0762,7
BUS_0004,2024-10-15,2185,0.0696,2
BUS_0004,2024-10-22,2211,0.0698,2
BUS_0004,2024-10-29,2252,0.0682,3
BUS_0004,2024-11-05,2289,0.0652,3
BUS_0004,2024-11-12,2316,0.0828,1
BUS_0004,2024-11-19,2350,0.0812,3
BUS_0004,2024-11-26,2394,0.0741,4
BUS_0004,2024-12-03,2409,0.0575,1
BUS_0004,2024-12-10,2445,0.0661,2
BUS_0004,2024-12-17,2471,0.0679,5
BUS_0004,2024-12-24,2504,0.0729,3
BUS_0004,2024-12-31,2572,0.0805,4
BUS_0004,2025-01-07,2617,0.0589,5
BUS_0004,2025-01-14,2639,0.0678,3
BUS_0004,2025-01-21,2680,0.0761,4
BUS_0004,2025-01-28,2729,0.0773,6
BUS_0004,2025-02-04,2771,0.0696,4
BUS_0004,2025-02-11,2830,0.0802,1
BUS_0004,2025-02-18,2881,0.0606,4
BUS_0004,2025-02-25,2921,0.0584,2
BUS_0004,2025-03-04,2963,0.0807,6
BUS_0004,2025-03-11,3002,0.0809,6
BUS_0004,2025-03-18,3028,0.0691,7
BUS_0004,2025-03-25,3079,0.0663,7
BUS_0004,2025-04-01,3143,0.0635,5
BUS_0004,2025-04-08,3172,0.0703,3
BUS_0004,2025-04-15,3227,0.0837,6
BUS_0004,2025-04-22,3296,0.0706,5
BUS_0004,2025-04-29,3376,0.0711,4
BUS_0004,2025-05-06,3421,0.0798,4
BUS_0004,2025-05-13,3489,0.0632,1
BUS_0004,2025-05-20,3590,0.0739,4
BUS_0004,2025-05-27,3642,0.0593,7
