business_id,week_start_date,transaction_count,transaction_volume,avg_ticket_size
BUS_0001,2024-07-23,43,102397.01,2381.33
BUS_0001,2024-07-30,43,65536.1,1524.1
BUS_0001,2024-08-06,48,113894.37,2372.8
BUS_0001,2024-08-13,47,82201.67,1748.97
BUS_0001,2024-08-20,43,57761.22,1343.28
BUS_0001,2024-08-27,32,61490.63,1921.58
BUS_0001,2024-09-03,38,94958.27,2498.9
BUS_0001,2024-09-10,36,77523.5,2153.43
BUS_0001,2024-09-17,42,63593.25,1514.12
BUS_0001,2024-09-24,48,93508.4,1948.09
BUS_0001,2024-10-01,41,94213.99,2297.9
BUS_0001,2024-10-08,41,72939.63,1779.02
BUS_0001,2024-10-15,45,93327.29,2073.94
BUS_0001,2024-10-22,51,90297.97,1770.55
BUS_0001,2024-10-29,51,103306.78,2025.62
BUS_0001,2024-11-05,42,86627.66,2062.56
BUS_0001,2024-11-12,44,59985.74,1363.31
BUS_0001,2024-11-19,28,48086.65,1717.38
BUS_0001,2024-11-26,35,71348.8,2038.54
BUS_0001,2024-12-03,40,76607.8,1915.2
BUS_0001,2024-12-10,49,88409.66,1804.28
BUS_0001,2024-12-17,42,79516.47,1893.25
BUS_0001,2024-12-24,45,95470.25,2121.56
BUS_0001,2024-12-31,40,73575.15,1839.38
BUS_0001,2025-01-07,39,67609.78,1733.58
BUS_0001,2025-01-14,45,82016.61,1822.59
BUS_0001,2025-01-21,48,104429.25,2175.61
BUS_0001,2025-01-28,46,64646.23,1405.35
BUS_0001,2025-02-04,39,85077.43,2181.47
BUS_0001,2025-02-11,46,90546.43,1968.4
BUS_0001,2025-02-18,51,74908.75,1468.8
BUS_0001,2025-02-25,45,98338.07,2185.29
BUS_0001,2025-03-04,50,86448.4,1728.97
BUS_0001,2025-03-11,50,114442.44,2288.85
BUS_0001,2025-03-18,43,74651.97,1736.09
BUS_0001,2025-03-25,48,118690.39,2472.72
BUS_0001,2025-04-01,42,93363.11,2222.93
BUS_0001,2025-04-08,42,83470.31,1987.39
BUS_0001,2025-04-15,60,145479.68,2424.66
BUS_0001,2025-04-22,38,80266.89,2112.29
BUS_0001,2025-04-29,37,68687.98,1856.43
BUS_0001,2025-05-06,38,64897.56,1707.83
BUS_0001,2025-05-13,47,97368.08,2071.66
BUS_0001,2025-05-20,42,91576.08,2180.38
BUS_0001,2025-05-27,53,115006.03,2169.93
BUS_0001,2025-06-03,42,95939.16,2284.27
BUS_0001,2025-06-10,53,102556.19,1935.02
BUS_0001,2025-06-17,46,82484.73,1793.15
BUS_0001,2025-06-24,42,84916.94,2021.83
BUS_0001,2025-07-01,52,110742.79,2129.67
BUS_0001,2025-07-08,52,86177.91,1657.27
BUS_0001,2025-07-15,41,79889.16,1948.52
BUS_0002,2024-07-23,68,60208.14,885.41
BUS_0002,2024-07-30,78,55650.17,713.46
BUS_0002,2024-08-06,75,69067.3,920.9
BUS_0002,2024-08-13,52,39880.18,766.93
BUS_0002,2024-08-20,65,39623.94,609.6
BUS_0002,2024-08-27,78,73556.36,943.03
BUS_0002,2024-09-03,77,66525.18,863.96
BUS_0002,2024-09-10,73,56029.38,767.53
BUS_0002,2024-09-17,64,64551.3,1008.61
BUS_0002,2024-09-24,77,58211.08,755.99
BUS_0002,2024-10-01,73,42085.29,576.51
BUS_0002,2024-10-08,76,66316.69,872.59
BUS_0002,2024-10-15,79,65144.41,824.61
BUS_0002,2024-10-22,67,62746.67,936.52
BUS_0002,2024-10-29,80,64170.81,802.14
BUS_0002,2024-11-05,100,92983.98,929.84
BUS_0002,2024-11-12,87,75139.65,863.67
BUS_0002,2024-11-19,129,116186.07,900.67
BUS_0002,2024-11-26,124,81684.67,658.75
BUS_0002,2024-12-03,77,,
BUS_0002,2024-12-10,89,73269.17,823.25
BUS_0002,2024-12-17,60,60098.28,1001.64
BUS_0002,2024-12-24,82,60668.02,739.85
BUS_0002,2024-12-31,71,63102.01,888.76
BUS_0002,2025-01-07,63,48919.28,776.5
BUS_0002,2025-01-14,74,60278.97,814.58
BUS_0002,2025-01-21,73,58267.24,798.18
BUS_0002,2025-01-28,74,65712.52,888.01
BUS_0002,2025-02-04,74,58705.56,793.32
BUS_0002,2025-02-11,76,68082.46,895.82
BUS_0002,2025-02-18,86,77147.68,897.07
BUS_0002,2025-02-25,81,80153.22,989.55
BUS_0002,2025-03-04,77,59142.67,768.09
BUS_0002,2025-03-11,75,54708.0,729.44
BUS_0002,2025-03-18,74,53109.59,717.7
BUS_0002,2025-03-25,90,65587.71,728.75
BUS_0002,2025-04-01,85,67829.24,797.99
BUS_0002,2025-04-08,76,78389.97,1031.45
BUS_0002,2025-04-15,87,78966.15,907.66
BUS_0002,2025-04-22,63,61250.61,972.23
BUS_0002,2025-04-29,124,120284.26,970.03
BUS_0002,2025-05-06,104,78830.53,757.99
BUS_0002,2025-05-13,118,101906.85,863.62
BUS_0002,2025-05-20,81,74030.88,913.96
BUS_0002,2025-05-27,68,44095.88,648.47
BUS_0002,2025-06-03,82,61676.92,752.16
BUS_0002,2025-06-10,87,74696.75,858.58
BUS_0002,2025-06-17,80,72606.93,907.59
BUS_0002,2025-06-24,72,45188.42,627.62
BUS_0002,2025-07-01,86,46602.74,541.89
BUS_0002,2025-07-08,74,53735.42,726.15
BUS_0002,2025-07-15,110,81389.69,739.91
BUS_0003,2024-07-23,32,44784.56,1399.52
BUS_0003,2024-07-30,33,59355.79,1798.66
BUS_0003,2024-08-06,35,63491.62,1814.05
BUS_0003,2024-08-13,29,45915.17,1583.28
BUS_0003,2024-08-20,30,45924.12,1530.8
BUS_0003,2024-08-27,28,59423.14,2122.26
BUS_0003,2024-09-03,28,57605.5,2057.34
BUS_0003,2024-09-10,33,43879.8,1329.69
BUS_0003,2024-09-17,39,58274.93,1494.23
BUS_0003,2024-09-24,27,36175.16,1339.82
BUS_0003,2024-10-01,32,36128.95,1129.03
BUS_0003,2024-10-08,33,64743.62,1961.93
BUS_0003,2024-10-15,37,49028.31,1325.09
BUS_0003,2024-10-22,38,63277.37,1665.19
BUS_0003,2024-10-29,22,42512.55,1932.39
BUS_0003,2024-11-05,21,34367.32,1636.54
BUS_0003,2024-11-12,18,25075.38,1393.08
BUS_0003,2024-11-19,36,56503.33,1569.54
BUS_0003,2024-11-26,24,44753.28,1864.72
BUS_0003,2024-12-03,32,59252.78,1851.65
BUS_0003,2024-12-10,23,20349.47,884.76
BUS_0003,2024-12-17,31,56613.6,1826.25
BUS_0003,2024-12-24,25,54319.55,2172.78
BUS_0003,2024-12-31,26,55549.71,2136.53
BUS_0003,2025-01-07,33,51820.73,1570.33
BUS_0003,2025-01-14,31,43814.58,1413.37
BUS_0003,2025-01-21,36,56078.01,1557.72
BUS_0003,2025-01-28,28,48138.86,1719.24
BUS_0003,2025-02-04,31,66081.95,2131.68
BUS_0003,2025-02-11,32,70360.6,2198.77
BUS_0003,2025-02-18,32,,
BUS_0003,2025-02-25,27,40395.42,1496.13
BUS_0003,2025-03-04,40,77817.58,1945.44
BUS_0003,2025-03-11,38,67973.94,1788.79
BUS_0003,2025-03-18,24,,
BUS_0003,2025-03-25,30,57951.35,1931.71
BUS_0003,2025-04-01,27,,
BUS_0003,2025-04-08,29,26042.36,898.01
BUS_0003,2025-04-15,31,34594.56,1115.95
BUS_0003,2025-04-22,25,58784.08,2351.36
BUS_0003,2025-04-29,29,46888.86,1616.86
BUS_0003,2025-05-06,21,50842.01,2421.05
BUS_0003,2025-05-13,26,55536.89,2136.03
BUS_0003,2025-05-20,33,83658.39,2535.1
BUS_0003,2025-05-27,28,44565.6,1591.63
BUS_0003,2025-06-03,27,36567.64,1354.36
BUS_0003,2025-06-10,33,56520.49,1712.74
BUS_0003,2025-06-17,29,52456.68,1808.85
BUS_0003,2025-06-24,32,62260.44,1945.64
BUS_0003,2025-07-01,20,15688.66,784.43
BUS_0003,2025-07-08,33,34699.77,1051.51
BUS_0003,2025-07-15,27,36442.9,1349.74
BUS_0004,2024-07-23,53,,
BUS_0004,2024-07-30,57,138530.04,2430.35
BUS_0004,2024-08-06,64,172944.65,2702.26
BUS_0004,2024-08-13,63,145381.82,2307.65
BUS_0004,2024-08-20,58,137510.02,2370.86
BUS_0004,2024-08-27,58,138041.27,2380.02
BUS_0004,2024-09-03,63,153209.95,2431.9
BUS_0004,2024-09-10,63,177393.53,2815.77
BUS_0004,2024-09-17,65,170744.75,2626.84
BUS_0004,2024-09-24,67,165876.52,2475.77
BUS_0004,2024-10-01,65,172844.25,2659.14
BUS_0004,2024-10-08,72,179550.13,2493.75
BUS_0004,2024-10-15,62,131384.12,2119.1
BUS_0004,2024-10-22,65,159703.31,2456.97
BUS_0004,2024-10-29,68,138291.13,2033.69
BUS_0004,2024-11-05,51,109571.92,2148.47
BUS_0004,2024-11-12,51,115487.33,2264.46
BUS_0004,2024-11-19,62,147808.03,2384.0
BUS_0004,2024-11-26,54,103998.57,1925.9
BUS_0004,2024-12-03,63,161358.06,2561.24
BUS_0004,2024-12-10,62,162922.91,2627.79
BUS_0004,2024-12-17,71,158642.43,2234.4
BUS_0004,2024-12-24,56,151145.67,2699.03
BUS_0004,2024-12-31,60,134208.06,2236.8
BUS_0004,2025-01-07,64,118373.73,1849.59
BUS_0004,2025-01-14,68,179413.25,2638.43
BUS_0004,2025-01-21,77,153196.29,1989.56
BUS_0004,2025-01-28,73,197215.44,2701.58
BUS_0004,2025-02-04,66,148412.51,2248.67
BUS_0004,2025-02-11,79,200478.75,2537.71
BUS_0004,2025-02-18,67,194383.83,2901.25
BUS_0004,2025-02-25,79,162822.06,2061.04
BUS_0004,2025-03-04,92,232475.85,2526.91
BUS_0004,2025-03-11,76,,
BUS_0004,2025-03-18,76,163168.9,2146.96
BUS_0004,2025-03-25,88,203400.4,2311.37
BUS_0004,2025-04-01,80,193363.78,2417.05
